Signal,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Word
41,60,375,774,1024,1393,1985,3283,4370,low
31,81,366,781,1007,1483,1985,3279,4317,low
34,72,399,774,1097,1389,1978,3281,4259,low
37,50,355,763,1070,1452,1823,3213,4101,low
9,75,378,757,1058,1356,1872,3295,4103,low
8,99,384,765,1094,1425,1835,3218,4136,low
10,96,383,757,1099,1457,1834,3225,4293,low
19,66,378,774,1020,1400,1966,3104,4210,low
28,66,368,751,1071,1456,1986,3188,4428,low
29,98,382,755,1076,1300,1805,3117,4490,low
23,53,370,775,1048,1396,1951,3114,4181,low
18,70,376,771,1021,1362,1944,3163,4243,low
30,98,385,774,1045,1346,1851,3236,4400,low
18,57,398,762,1024,1360,1811,3275,4339,low
19,60,398,785,1065,1456,1852,3105,4271,low
31,96,371,793,1085,1400,1828,3160,4415,low
18,60,357,754,1071,1462,1973,3201,4146,low
8,98,376,783,1099,1358,1983,3187,4105,low
8,59,394,755,1021,1490,1990,3150,4374,low
14,83,377,788,1049,1337,1933,3107,4179,low
20,76,385,770,1099,1334,1937,3194,4110,low
10,87,380,754,1070,1390,1876,3136,4347,low
40,80,397,790,1054,1449,1890,3165,4487,low
32,84,360,772,1073,1484,1826,3187,4433,low
37,95,388,785,1054,1469,1849,3190,4357,low
32,96,389,772,1072,1444,1880,3282,4139,low
23,60,357,756,1039,1317,1829,3145,4267,low
22,67,380,800,1062,1328,1909,3132,4116,low
29,73,354,751,1016,1482,1919,3265,4126,low
38,67,394,796,1098,1457,1845,3179,4483,low
36,112,438,829,1089,1490,2059,3792,4599,mid
42,113,418,789,1121,1487,2371,3227,4406,mid
12,144,409,822,1107,1547,2001,3596,4589,mid
17,196,445,833,1099,1455,2361,3732,4455,mid
27,96,343,871,1113,1564,1921,3439,4465,mid
40,131,519,851,1085,1597,2202,3348,4514,mid
45,189,461,802,1111,1589,2076,3259,4603,mid
8,143,472,801,1091,1460,2084,3324,4421,mid
37,129,451,861,1094,1554,2274,3607,4676,mid
27,195,529,843,1104,1457,2036,3739,4531,mid
25,92,433,820,1080,1460,2296,3246,4621,mid
33,93,343,878,1097,1542,2314,3352,4536,mid
8,195,521,850,1085,1507,2136,3259,4694,mid
32,123,521,877,1088,1495,2123,3636,4438,mid
27,198,399,853,1080,1558,2370,3298,4458,mid
36,172,373,810,1123,1555,2015,3403,4504,mid
15,127,454,836,1095,1468,2386,3451,4669,mid
39,153,478,785,1104,1520,2312,3315,4448,mid
45,90,386,895,1080,1514,2278,3243,4605,mid
18,148,402,785,1126,1541,2333,3358,4692,mid
37,171,466,837,1080,1588,2184,3336,4436,mid
14,149,520,833,1114,1506,2133,3595,4465,mid
7,161,518,808,1109,1520,2372,3718,4540,mid
24,183,494,800,1095,1562,1964,3673,4513,mid
22,165,538,845,1097,1575,1999,3401,4694,mid
17,167,497,877,1098,1522,1930,3398,4478,mid
7,156,549,831,1115,1591,2059,3363,4473,mid
32,143,394,885,1127,1463,2331,3794,4413,mid
34,130,448,882,1111,1473,1903,3795,4528,mid
26,99,380,865,1085,1504,2352,3600,4481,mid
26,274,526,855,1173,1655,2883,3865,4677,high
8,195,522,902,1114,1575,2332,3698,4755,high
30,261,509,907,1171,1612,2894,3607,4678,high
27,187,506,857,1128,1583,2200,3954,4650,high
44,259,654,854,1109,1551,2705,3544,4731,high
30,219,659,875,1142,1553,2484,3946,4652,high
46,192,517,856,1116,1675,2794,3725,4645,high
36,246,546,862,1133,1568,2739,3710,4743,high
45,222,504,922,1143,1618,2698,3738,4682,high
18,267,593,890,1113,1587,2390,3652,4893,high
12,205,577,885,1112,1590,2770,3814,4609,high
39,182,603,904,1152,1568,2233,3602,4946,high
10,242,561,922,1120,1668,2880,3957,4724,high
28,209,652,913,1106,1634,2538,3601,4704,high
7,212,635,918,1133,1614,2453,3845,4692,high
45,273,504,890,1107,1554,2547,3500,4947,high
19,242,576,921,1164,1575,2961,3896,4653,high
44,203,634,878,1114,1628,2801,3676,4819,high
37,210,487,850,1124,1571,2398,3879,4733,high
47,258,548,884,1161,1559,2948,3552,4758,high
10,275,484,859,1152,1572,2841,3556,4904,high
36,225,620,900,1153,1654,2410,3896,4674,high
23,197,664,876,1107,1672,2343,3557,4761,high
16,195,661,900,1143,1556,2958,3733,4703,high
23,213,647,874,1137,1674,2711,3534,4623,high
12,250,500,869,1137,1588,2651,3848,4710,high
36,235,647,871,1107,1672,2312,3933,4638,high
21,270,666,906,1108,1625,2314,3589,4637,high
44,188,602,882,1128,1588,2446,3531,4672,high
41,240,552,923,1140,1583,2801,3661,4855,high
14,60,371,785,1031,1432,1918,3130,4458,low
9,78,377,790,1067,1414,1992,3283,4441,low
40,69,385,763,1030,1365,1848,3127,4443,low
9,78,388,788,1007,1338,1855,3150,4146,low
46,68,388,776,1069,1425,1850,3294,4240,low
9,53,383,788,1089,1460,1909,3281,4456,low
30,82,350,788,1049,1477,1841,3108,4463,low
14,74,365,772,1045,1338,1837,3224,4439,low
43,52,374,755,1057,1407,1973,3266,4145,low
33,78,378,772,1053,1371,1851,3218,4102,low
34,65,368,775,1066,1309,1864,3268,4119,low
43,75,369,766,1009,1392,1940,3225,4198,low
31,88,399,797,1060,1423,1915,3226,4298,low
37,55,361,758,1092,1320,1816,3175,4154,low
38,70,378,767,1041,1374,1897,3103,4446,low
12,56,356,776,1076,1314,1827,3216,4438,low
29,80,397,781,1029,1462,1952,3216,4241,low
41,93,375,763,1028,1416,1884,3104,4219,low
29,55,373,791,1018,1391,1893,3299,4206,low
39,78,356,784,1090,1355,1870,3208,4340,low
15,91,392,798,1084,1440,1886,3285,4191,low
23,59,376,789,1042,1302,1923,3200,4184,low
14,59,357,756,1075,1306,1890,3260,4139,low
31,73,395,776,1016,1407,1953,3295,4141,low
40,50,372,775,1025,1322,1862,3121,4340,low
21,99,371,751,1029,1479,1839,3259,4248,low
36,88,369,766,1028,1303,1889,3108,4117,low
21,52,396,786,1001,1302,1986,3164,4307,low
9,91,390,766,1020,1457,1815,3299,4132,low
21,51,353,772,1051,1328,1955,3292,4169,low
27,114,372,821,1101,1450,2282,3622,4437,mid
11,146,382,800,1120,1522,1961,3630,4469,mid
23,176,400,836,1103,1588,2083,3520,4494,mid
32,136,434,848,1095,1486,2236,3282,4491,mid
29,98,404,895,1125,1539,2397,3579,4438,mid
20,114,500,819,1124,1573,1921,3326,4621,mid
17,96,387,883,1108,1517,2237,3716,4527,mid
18,110,535,893,1084,1595,2310,3798,4481,mid
22,177,435,800,1113,1505,2037,3527,4583,mid
17,131,537,848,1094,1497,1958,3388,4507,mid
10,95,364,817,1088,1459,2242,3442,4462,mid
11,199,344,855,1083,1500,1958,3545,4576,mid
28,101,337,785,1087,1470,1923,3323,4504,mid
18,106,521,864,1122,1563,2097,3551,4510,mid
43,118,429,874,1121,1546,1943,3724,4677,mid
31,119,487,842,1107,1594,2176,3381,4475,mid
41,94,331,861,1097,1569,2366,3677,4567,mid
28,81,498,894,1110,1576,2350,3246,4453,mid
40,88,505,792,1081,1531,1949,3402,4499,mid
19,150,439,862,1102,1452,2341,3628,4567,mid
41,177,406,788,1098,1562,2280,3735,4642,mid
34,164,350,865,1093,1555,2314,3308,4569,mid
13,92,473,830,1095,1527,2228,3525,4674,mid
13,91,395,788,1087,1455,2264,3515,4519,mid
15,199,443,805,1095,1592,2119,3401,4474,mid
44,126,507,800,1101,1520,2062,3350,4663,mid
41,130,456,840,1115,1520,2117,3797,4572,mid
15,108,336,832,1091,1506,2122,3231,4407,mid
15,88,346,795,1118,1570,2035,3494,4652,mid
22,155,513,879,1081,1511,1952,3483,4514,mid
22,254,611,917,1154,1588,2551,3975,4639,high
37,209,526,866,1120,1631,2620,3633,4890,high
22,229,519,914,1146,1656,2312,3940,4771,high
43,214,627,907,1104,1604,2817,3646,4759,high
45,242,635,909,1132,1628,2507,3584,4860,high
45,228,511,865,1163,1637,2522,3895,4961,high
31,184,619,887,1133,1641,2544,3529,4694,high
31,241,549,904,1102,1616,2938,3575,4878,high
25,225,517,868,1161,1606,2958,3511,4965,high
39,216,549,912,1149,1577,2793,3822,4692,high
11,218,621,865,1118,1598,2507,3790,4918,high
21,217,512,850,1142,1639,2688,3835,4662,high
44,199,623,919,1110,1647,2947,3520,4777,high
33,225,512,916,1132,1648,2712,3694,4713,high
13,189,668,854,1173,1642,2212,3777,4831,high
34,207,640,851,1113,1585,2214,3947,4619,high
41,219,510,917,1130,1603,2804,3677,4782,high
41,203,651,895,1102,1601,2500,3653,4789,high
23,257,524,903,1102,1553,2558,3563,4923,high
20,261,539,868,1111,1602,2820,3581,4948,high
40,195,650,867,1148,1653,2355,3738,4853,high
24,186,543,862,1121,1609,2274,3938,4744,high
36,239,568,893,1116,1558,2312,3667,4944,high
30,255,658,871,1107,1621,2876,3772,4918,high
9,196,675,879,1163,1649,2467,3900,4703,high
7,234,514,906,1129,1644,2422,3791,4904,high
12,229,633,910,1133,1625,2797,3536,4748,high
33,222,627,867,1112,1647,2401,3798,4639,high
39,236,629,896,1167,1674,2501,3943,4638,high
36,257,545,900,1109,1571,2940,3536,4789,high
22,76,395,778,1055,1316,1942,3111,4429,low
23,82,354,789,1001,1315,1994,3114,4201,low
25,80,363,786,1083,1401,1860,3116,4391,low
35,57,388,800,1022,1356,1911,3187,4224,low
47,83,370,784,1009,1367,1852,3260,4217,low
24,60,393,792,1009,1360,1915,3239,4364,low
26,76,380,790,1051,1430,1988,3217,4435,low
27,81,386,798,1028,1400,1867,3142,4106,low
39,75,357,786,1041,1380,1960,3232,4146,low
29,78,379,758,1079,1341,1904,3230,4313,low
7,80,369,755,1037,1345,1977,3131,4303,low
15,95,356,775,1067,1365,1896,3274,4369,low
16,52,369,789,1032,1427,1874,3184,4392,low
41,77,388,779,1083,1447,1844,3214,4454,low
39,75,388,779,1062,1450,1930,3170,4297,low
22,76,368,772,1072,1394,1921,3187,4279,low
45,90,372,789,1030,1488,1894,3270,4255,low
29,92,375,764,1055,1476,1908,3202,4230,low
10,65,399,772,1094,1348,1978,3213,4177,low
40,54,388,793,1005,1467,1949,3281,4362,low
7,70,361,758,1072,1329,1860,3288,4382,low
46,86,386,766,1047,1478,1955,3185,4253,low
32,67,360,758,1024,1385,1867,3183,4244,low
12,89,358,780,1007,1454,1849,3107,4151,low
21,96,375,782,1078,1389,1835,3185,4260,low
22,80,373,758,1068,1388,1989,3295,4384,low
11,68,395,752,1068,1431,1861,3233,4350,low
40,59,399,764,1032,1381,1831,3300,4395,low
11,68,380,782,1016,1408,1996,3111,4436,low
20,59,368,761,1058,1416,1837,3172,4190,low
44,128,337,865,1123,1600,2266,3555,4599,mid
20,107,510,832,1103,1502,2389,3243,4597,mid
41,126,528,785,1122,1455,1930,3313,4551,mid
